townhall - gandipuram : 4.9 , 5.8 ,5.2
townhall - rspuram    : 3.1 , 2.6 ,2.7
townhall - SBC        : 4.7 , 4.8
townhall - ganapathy  : 8.4 , 8.7 , 9.1
gandipuram - rspuram  : 3.2 , 3.5 , 3.9
gandipuram - SBC      : 4.1 , 4.8
gandipuram - ganapathy: 4.0 , 4.9
rspuram - SBC         : 2.8 , 3.3 , 3.5
rspuram - ganapathy   : 7.1 , 8.1 , 8.1       
SBC - ganapathy       : 7.6 , 7.6 , 8.5 


chinniyampalayam-ettimadai :40.6,32.1,33.3
chinniyampalayam-podanur :18.8,19.1,17.5
chinniyampalayam-neelambur :3.7,4.6

kovaipudur-thudiyalur :21.2,22.6,23.5
kovaipudur-selvapuram :7.1,8.5
kovaipudur-ettimadai :13.6
kovaipudur-podanur :11.2,11.9,13
kovaipudur-neelambur :33.5,32.9,26.8

thondamuthur-thudiyalur :19.4,22
thondamuthur-selvapuram :13.5,15.6,14.5
thondamuthur-ettimadai :32.9,26.4
thondamuthur-podanur :24.7,21.7
thondamuthur-neelambur :32.8,36.6
